biasEst,biasTrue,noise
0.6138275137299853,0,0
0.6145016425779732,0.1,0
0.6153267909185601,0.2,0
0.6159087536920091,0.30000000000000004,0
0.6167975829291648,0.4,0
0.6191905059699686,0.5,0
0.6207570147950621,0.6000000000000001,0
0.6240390208188084,0.7000000000000001,0
0.6249393567899246,0.8,0
0.6262776788095673,0.9,0
0.6274830180924285,1,0
0.6129194974290902,0,0.1
0.6146747301152541,0.1,0.1
0.6150379893721067,0.2,0.1
0.6159978561011978,0.30000000000000004,0.1
0.618505798782389,0.4,0.1
0.6199071222810976,0.5,0.1
0.6186813400849778,0.6000000000000001,0.1
0.6230224436349978,0.7000000000000001,0.1
0.6240829073327844,0.8,0.1
0.626282033046691,0.9,0.1
0.6267570432739001,1,0.1
0.6141325427163543,0,0.2
0.6152989776961377,0.1,0.2
0.6163962146162718,0.2,0.2
0.618510956321383,0.30000000000000004,0.2
0.6200623559390912,0.4,0.2
0.6195531541042838,0.5,0.2
0.6206718034965532,0.6000000000000001,0.2
0.6214974577337719,0.7000000000000001,0.2
0.6228293392227507,0.8,0.2
0.6243881581709423,0.9,0.2
0.6255544873893267,1,0.2
0.6136265026276605,0,0.30000000000000004
0.615017237870177,0.1,0.30000000000000004
0.6149532353812351,0.2,0.30000000000000004
0.6167868675803332,0.30000000000000004,0.30000000000000004
0.6178438857989148,0.4,0.30000000000000004
0.6193789079365567,0.5,0.30000000000000004
0.6208468512232814,0.6000000000000001,0.30000000000000004
0.6214531269074302,0.7000000000000001,0.30000000000000004
0.6222294209790123,0.8,0.30000000000000004
0.6242253487490018,0.9,0.30000000000000004
0.6240313441123109,1,0.30000000000000004
0.6147224631335256,0,0.4
0.6158179315150712,0.1,0.4
0.6165844848952761,0.2,0.4
0.616936332321797,0.30000000000000004,0.4
0.6188699509905977,0.4,0.4
0.6193725791072281,0.5,0.4
0.6210811607628538,0.6000000000000001,0.4
0.6219657093931322,0.7000000000000001,0.4
0.6227048335042719,0.8,0.4
0.6226569010906833,0.9,0.4
0.6244908281362875,1,0.4
0.6159372969195236,0,0.5
0.6172050104341739,0.1,0.5
0.6154338473721661,0.2,0.5
0.6176293727699265,0.30000000000000004,0.5
0.6183244900202839,0.4,0.5
0.6191880358351153,0.5,0.5
0.6191174448608318,0.6000000000000001,0.5
0.6216036089658032,0.7000000000000001,0.5
0.6230873230590634,0.8,0.5
0.6234351845069098,0.9,0.5
0.6237580313107911,1,0.5
