biasEst,biasTrue,noise
0.6096870208001866,0,0
0.6144933523625141,0.1,0
0.6176167053092136,0.2,0
0.6164367439816131,0.30000000000000004,0
0.6173895093683378,0.4,0
0.6201973308551562,0.5,0
0.6202176771464133,0.6000000000000001,0
0.6219311204592791,0.7000000000000001,0
0.6258262320439519,0.8,0
0.6262189308798529,0.9,0
0.6300324074451441,1,0
0.6103859850834349,0,0.1
0.614421226226083,0.1,0.1
0.6163802560670246,0.2,0.1
0.6155044314858688,0.30000000000000004,0.1
0.6181221033163958,0.4,0.1
0.6211090246443809,0.5,0.1
0.6200803407995933,0.6000000000000001,0.1
0.6239597787602396,0.7000000000000001,0.1
0.626311624047381,0.8,0.1
0.623616559331061,0.9,0.1
0.6295507820563674,1,0.1
0.609803174068978,0,0.2
0.6138187828240703,0.1,0.2
0.6137878543441342,0.2,0.2
0.6193179312042454,0.30000000000000004,0.2
0.6171303755142067,0.4,0.2
0.620268941734873,0.5,0.2
0.6203468831448669,0.6000000000000001,0.2
0.6214729299924059,0.7000000000000001,0.2
0.6233272694845408,0.8,0.2
0.6258494771898759,0.9,0.2
0.6289317381974957,1,0.2
0.6108848208831963,0,0.30000000000000004
0.6151169997813272,0.1,0.30000000000000004
0.6157377198694506,0.2,0.30000000000000004
0.6166067564743601,0.30000000000000004,0.30000000000000004
0.6193659982984362,0.4,0.30000000000000004
0.6210871675755115,0.5,0.30000000000000004
0.6217884513945799,0.6000000000000001,0.30000000000000004
0.6216319233573058,0.7000000000000001,0.30000000000000004
0.6240776366230897,0.8,0.30000000000000004
0.6249649667253493,0.9,0.30000000000000004
0.6268172101511656,1,0.30000000000000004
0.6127046843445938,0,0.4
0.6161432518286506,0.1,0.4
0.6195623033306197,0.2,0.4
0.6183880584633062,0.30000000000000004,0.4
0.619469026945224,0.4,0.4
0.6177244136384631,0.5,0.4
0.6184338372185211,0.6000000000000001,0.4
0.624074484646093,0.7000000000000001,0.4
0.6223382928784625,0.8,0.4
0.6248462624705999,0.9,0.4
0.6271479466559715,1,0.4
0.6133040812710889,0,0.5
0.6168561544387413,0.1,0.5
0.6178389888507878,0.2,0.5
0.6175932356645767,0.30000000000000004,0.5
0.6184557071628168,0.4,0.5
0.6194860769972447,0.5,0.5
0.6215475355033634,0.6000000000000001,0.5
0.6219724630467879,0.7000000000000001,0.5
0.6221354753107112,0.8,0.5
0.6243223761412162,0.9,0.5
0.6270157402848829,1,0.5
